timestamp,No_,Location Code,Assigned User ID,Assignment Date,Assignment Time,Sorting Method,No_ Series,Bin Code,Zone Code,Document Status,Posting Date,Shipping Agent Code,Shipping Agent Service Code,Shipment Method Code,Shipment Date,Status,External Document No_,Create Posted Header,Shipping No_,Last Shipping No_,Shipping No_ Series,Picking Status,Qty_ Parcel,Qty_ Frozen,Qty_ Fridge,Route,Route Drop No_,Start Package No_,End Package No_,Created DateTime,Nothing to Handle,Labels Printed,Sales Order No_,Customer No_,No_ Printed
0x000000007E935ECE,SH317197,JHB-WHSE,,1753-01-01 00:00:00.000,1753-01-01 00:00:00.000,0,WMS-SHIP,DISPATCH,DISPATCH,0,2017-11-14 00:00:00.000,,,,2017-11-17 00:00:00.000,1,,0,,,WMS-SHIP+,0,0,0,0,JHB-COL,1,,,2017-11-14 06:03:38.683,0,0,SO339310,ZMER001,0
0x000000007F1A8C5F,SH319252,JHB-WHSE,,1753-01-01 00:00:00.000,1753-01-01 00:00:00.000,0,WMS-SHIP,DISPATCH,DISPATCH,0,2017-11-16 00:00:00.000,,,,2017-11-20 00:00:00.000,1,,0,,,WMS-SHIP+,0,0,0,0,JHB-CS,1,,,2017-11-16 11:33:06.053,0,0,SO341521,MAK024,0
