UUID,Document Type,Document No_,Line No_,Sell-to Customer No_,Type,No_,Location Code,Posting Group,Shipment Date,Description,Description 2,Unit of Measure,Quantity,Outstanding Quantity,Qty_ to Invoice,Qty_ to Ship,Unit Price,Unit Cost (LCY),VAT _,Line Discount _,Line Discount Amount,Amount,Amount Including VAT,Allow Invoice Disc_,Gross Weight,Net Weight,Units per Parcel,Unit Volume,Appl_-to Item Entry,Shortcut Dimension 1 Code,Shortcut Dimension 2 Code,Customer Price Group,Job No_,Work Type Code,Recalculate Invoice Disc_,Outstanding Amount,Qty_ Shipped Not Invoiced,Shipped Not Invoiced,Quantity Shipped,Quantity Invoiced,Shipment No_,Shipment Line No_,Profit _,Bill-to Customer No_,Inv_ Discount Amount,Purchase Order No_,Purch_ Order Line No_,Drop Shipment,Gen_ Bus_ Posting Group,Gen_ Prod_ Posting Group,VAT Calculation Type,Transaction Type,Transport Method,Attached to Line No_,Exit Point,Area,Transaction Specification,Tax Category,Tax Area Code,Tax Liable,Tax Group Code,VAT Clause Code,VAT Bus_ Posting Group,VAT Prod_ Posting Group,Currency Code,Outstanding Amount (LCY),Shipped Not Invoiced (LCY),Reserve,Blanket Order No_,Blanket Order Line No_,VAT Base Amount,Unit Cost,System-Created Entry,Line Amount,VAT Difference,Inv_ Disc_ Amount to Invoice,VAT Identifier,IC Partner Ref_ Type,IC Partner Reference,Prepayment _,Prepmt_ Line Amount,Prepmt_ Amt_ Inv_,Prepmt_ Amt_ Incl_ VAT,Prepayment Amount,Prepmt_ VAT Base Amt_,Prepayment VAT _,Prepmt_ VAT Calc_ Type,Prepayment VAT Identifier,Prepayment Tax Area Code,Prepayment Tax Liable,Prepayment Tax Group Code,Prepmt Amt to Deduct,Prepmt Amt Deducted,Prepayment Line,Prepmt_ Amount Inv_ Incl_ VAT,Prepmt_ Amount Inv_ (LCY),IC Partner Code,Prepmt_ VAT Amount Inv_ (LCY),Prepayment VAT Difference,Prepmt VAT Diff_ to Deduct,Prepmt VAT Diff_ Deducted,Dimension Set ID,Qty_ to Assemble to Order,Qty_ to Asm_ to Order (Base),Job Task No_,Job Contract Entry No_,Deferral Code,Returns Deferral Start Date,Variant Code,Bin Code,Qty_ per Unit of Measure,Planned,Unit of Measure Code,Quantity (Base),Outstanding Qty_ (Base),Qty_ to Invoice (Base),Qty_ to Ship (Base),Qty_ Shipped Not Invd_ (Base),Qty_ Shipped (Base),Qty_ Invoiced (Base),FA Posting Date,Depreciation Book Code,Depr_ until FA Posting Date,Duplicate in Depreciation Book,Use Duplication List,Responsibility Center,Out-of-Stock Substitution,Originally Ordered No_,Originally Ordered Var_ Code,Cross-Reference No_,Unit of Measure (Cross Ref_),Cross-Reference Type,Cross-Reference Type No_,Item Category Code,Nonstock,Purchasing Code,Product Group Code,Special Order,Special Order Purchase No_,Special Order Purch_ Line No_,Completely Shipped,Requested Delivery Date,Promised Delivery Date,Shipping Time,Outbound Whse_ Handling Time,Planned Delivery Date,Planned Shipment Date,Shipping Agent Code,Shipping Agent Service Code,Allow Item Charge Assignment,Return Qty_ to Receive,Return Qty_ to Receive (Base),Return Qty_ Rcd_ Not Invd_,Ret_ Qty_ Rcd_ Not Invd_(Base),Return Rcd_ Not Invd_,Return Rcd_ Not Invd_ (LCY),Return Qty_ Received,Return Qty_ Received (Base),Appl_-from Item Entry,BOM Item No_,Return Receipt No_,Return Receipt Line No_,Return Reason Code,Allow Line Disc_,Customer Disc_ Group,Vendor Item No,POT Charge,Override Inventory Warning,Document Line No_,RHC Line,Deal Item,Deal Applied
15eaad92-cac5-11e7-b927-0401beb96201,1,SO341521,10000,MAK024,2,LLCHP,JHB-WHSE,CONSSTOCK,00:00.0,Leopards Leap Chardonnay Pinot Noir 2017,LLCHP-2016,06 x 750ml,2,2,0,0,210.52632,153.66,14,10,42.11,378.94,431.99,1,7.8,0,0,0,0,1200,1801,P10,,,0,431.99,0,0,0,0,,0,27,MAK012,0,,0,0,LOCAL,MW,0,,,0,,,,,,0,,,VAT14,VAT14,,431.99,0,1,,0,378.94,153.66,0,378.94,0,0,VAT14,0,,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,,0,0,0,0,444999,0,0,,0,,1753-01-01 00:00:00.000,2017,,6,0,C06X750,12,12,0,0,0,0,0,1753-01-01 00:00:00.000,,0,,0,GAUTENG,0,,,,,0,,WINE,0,,WHT,0,,0,0,00:00.0,00:00.0,,,00:00.0,00:00.0,,,1,0,0,0,0,0,0,0,0,0,,,0,,1,11E,,0,1,10000,0,0,
15eab3a0-cac5-11e7-b927-0401beb96201,1,SO341521,20000,MAK024,2,KCSAB,JHB-WHSE,CONSSTOCK,00:00.0,Klein Constantia Sauvignon Blanc 2016,KCSAB-2015,06 x 750ml,2,2,0,0,526.31579,357.9,14,0,0,1052.63,1200,1,7.8,0,0,0,0,1200,1801,P10,,,0,1200,0,0,0,0,,0,27,MAK012,0,,0,0,LOCAL,MW,0,,,0,,,,,,0,,,VAT14,VAT14,,1200,0,1,,0,1052.63,357.9,0,1052.63,0,0,VAT14,0,,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,,0,0,0,0,542855,0,0,,0,,1753-01-01 00:00:00.000,2016,,6,0,C06X750,12,12,0,0,0,0,0,1753-01-01 00:00:00.000,,0,,0,GAUTENG,0,,,,,0,,WINE,0,,SBL,0,,0,0,00:00.0,00:00.0,,,00:00.0,00:00.0,,,1,0,0,0,0,0,0,0,0,0,,,0,,1,11E,,0,1,20000,0,0,
15eab634-cac5-11e7-b927-0401beb96201,1,SO341521,30000,MAK024,2,RVCAS,JHB-WHSE,CONSSTOCK,00:00.0,Rust en Vrede Estate Vineyards Cabernet Sauv 2015,RVCAS-2014,06 x 750ml,1,1,0,0,1105.26316,806.82,14,0,0,1105.26,1260,1,7.8,0,0,0,0,1200,1801,P10,,,0,1260,0,0,0,0,,0,19,MAK012,0,,0,0,LOCAL,MW,0,,,0,,,,,,0,,,VAT14,VAT14,,1260,0,1,,0,1105.26,806.82,0,1105.26,0,0,VAT14,0,,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,,0,0,0,0,445034,0,0,,0,,1753-01-01 00:00:00.000,2015,,6,0,C06X750,6,6,0,0,0,0,0,1753-01-01 00:00:00.000,,0,,0,GAUTENG,0,,,,,0,,WINE,0,,CAS,0,,0,0,00:00.0,00:00.0,,,00:00.0,00:00.0,,,1,0,0,0,0,0,0,0,0,0,,,0,,1,11E,,0,1,30000,0,0,
15eab846-cac5-11e7-b927-0401beb96201,1,SO341521,40000,MAK024,2,LMSAB,JHB-WHSE,CONSSTOCK,00:00.0,La Motte Sauvignon Blanc 2017,LMSAB-2016,06 x 750ml,4,4,0,0,339.47368,254.64,14,7,95.05,1262.84,1439.64,1,7.8,0,0,0,0,1200,1801,P10,,,0,1439.64,0,0,0,0,,0,25,MAK012,0,,0,0,LOCAL,MW,0,,,0,,,,,,0,,,VAT14,VAT14,,1439.64,0,1,,0,1262.84,254.64,0,1262.84,0,0,VAT14,0,,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,,0,0,0,0,435892,0,0,,0,,1753-01-01 00:00:00.000,2017,,6,0,C06X750,24,24,0,0,0,0,0,1753-01-01 00:00:00.000,,0,,0,GAUTENG,0,,,,,0,,WINE,0,,SBL,0,,0,0,00:00.0,00:00.0,,,00:00.0,00:00.0,,,1,0,0,0,0,0,0,0,0,0,,,0,,1,11E,,0,1,40000,0,0,
15eaba44-cac5-11e7-b927-0401beb96201,1,SO341521,50000,MAK024,2,DEFIC,JHB-WHSE,CONSSTOCK,00:00.0,De Wetshof Finesse Chardonnay 2017,DEFIC-2016,06 x 750ml,1,1,0,0,497.36842,363.06,14,0,0,497.37,567,1,7.8,0,0,0,0,1200,1801,P10,,,0,567,0,0,0,0,,0,27,MAK012,0,,0,0,LOCAL,MW,0,,,0,,,,,,0,,,VAT14,VAT14,,567,0,1,,0,497.37,363.06,0,497.37,0,0,VAT14,0,,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,,0,0,0,0,468100,0,0,,0,,1753-01-01 00:00:00.000,2017,,6,0,C06X750,6,6,0,0,0,0,0,1753-01-01 00:00:00.000,,0,,0,GAUTENG,0,,,,,0,,WINE,0,,CHA,0,,0,0,00:00.0,00:00.0,,,00:00.0,00:00.0,,,1,0,0,0,0,0,0,0,0,0,,,0,,1,11E,,0,1,50000,0,0,
15eabc7e-cac5-11e7-b927-0401beb96201,1,SO341521,60000,MAK024,2,RVME,JHB-WHSE,CONSSTOCK,00:00.0,Rust en Vrede Estate Vineyards Merlot 2015,RVME-2014,06 x 750ml,1,1,0,0,1028.94737,751.08,14,0,0,1028.95,1173,1,7.8,0,0,0,0,1200,1801,P10,,,0,1173,0,0,0,0,,0,27,MAK012,0,,0,0,LOCAL,MW,0,,,0,,,,,,0,,,VAT14,VAT14,,1173,0,1,,0,1028.95,751.08,0,1028.95,0,0,VAT14,0,,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,,0,0,0,0,445036,0,0,,0,,1753-01-01 00:00:00.000,2015,,6,0,C06X750,6,6,0,0,0,0,0,1753-01-01 00:00:00.000,,0,,0,GAUTENG,0,,,,,0,,WINE,0,,MER,0,,0,0,00:00.0,00:00.0,,,00:00.0,00:00.0,,,1,0,0,0,0,0,0,0,0,0,,,0,,1,11E,,0,1,60000,0,0,
15eabf94-cac5-11e7-b927-0401beb96201,1,SO341521,70000,MAK024,2,KFSAB,JHB-WHSE,CONSSTOCK,00:00.0,Ken Forrester Reserve Sauvignon Blanc 2017,KFSAB-2016,06 x 750ml,3,3,0,0,328.94737,240.12,14,0,0,986.84,1125,1,7.8,0,0,0,0,1200,1801,P10,,,0,1125,0,0,0,0,,0,27,MAK012,0,,0,0,LOCAL,MW,0,,,0,,,,,,0,,,VAT14,VAT14,,1125,0,1,,0,986.84,240.12,0,986.84,0,0,VAT14,0,,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,,0,0,0,0,435893,0,0,,0,,1753-01-01 00:00:00.000,2017,,6,0,C06X750,18,18,0,0,0,0,0,1753-01-01 00:00:00.000,,0,,0,GAUTENG,0,,,,,0,,WINE,0,,SBL,0,,0,0,00:00.0,00:00.0,,,00:00.0,00:00.0,,,1,0,0,0,0,0,0,0,0,0,,,0,,1,11E,,0,1,70000,0,0,
15eac2aa-cac5-11e7-b927-0401beb96201,1,SO341521,80000,MAK024,2,KFPEC,JHB-WHSE,CONSSTOCK,00:00.0,Ken Forrester Petit Chenin 2017,KFPEC-2016,06 x 750ml,1,1,0,0,221.05263,161.34,14,5,11.05,210,239.4,1,7.8,0,0,0,0,1200,1801,P10,,,0,239.4,0,0,0,0,,0,27,MAK012,0,,0,0,LOCAL,MW,0,,,0,,,,,,0,,,VAT14,VAT14,,239.4,0,1,,0,210,161.34,0,210,0,0,VAT14,0,,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,,0,0,0,0,461012,0,0,,0,,1753-01-01 00:00:00.000,2017,,6,0,C06X750,6,6,0,0,0,0,0,1753-01-01 00:00:00.000,,0,,0,GAUTENG,0,,,,,0,,WINE,0,,CHB,0,,0,0,00:00.0,00:00.0,,,00:00.0,00:00.0,,,1,0,0,0,0,0,0,0,0,0,,,0,,1,11E,,0,1,80000,0,0,
